股票代码	上市公司名称	主营业务利润率	投资收益比率	净资产收益率	每股净利润	应收账款周转率	存货周转率	总资产周转率	流动比率	资产负债率	流动负债比率	净资产比率	每股净资产	主营业务收入增长率	净资产增长率	总资产增长率	股票价格
000951	小鸭电器	19.14	-3.98	-1.57	-0.06	-0.89	0.77	0.25	0.81	66.35	92.89	29.5	1.4	-12.12	-1.83	-2.96	8.51
600389	江山股份	19.14	-3.98	4.25	0.12	14.057	4.05	0.81	0.81	52.14	102.65	45.31	2.34	12.06	3.65	23.08	10.09
600075	新疆天业	19.14	4.12	4.25	0.12	8.63	4.05	0.53	1.27	52.14	92.89	45.31	3.29	12.06	3.65	10.06	7.34
600667	太极实业	19.14	-3.98	-1.57	-0.06	-0.89	4.05	0.25	0.81	66.35	92.89	29.5	1.4	-12.12	-1.83	-2.96	5.18
000045	深纺织Ａ	19.14	12.53	-1.57	-0.06	14.057	7.33	0.53	0.81	52.14	102.65	45.31	2.34	36.24	-1.83	-2.96	9.67
600006	东风汽车	19.14	-3.98	10.07	0.3	14.057	7.33	0.81	1.27	52.14	102.65	45.31	3.29	36.24	9.13	23.08	13.72
600836	界龙实业	19.14	4.12	4.25	0.12	8.63	4.05	0.81	1.27	66.35	102.65	29.5	1.4	12.06	3.65	-2.96	14.053
600089	特变电工	19.14	12.53	10.07	0.3	-0.89	4.05	0.81	1.27	66.35	83.14	29.5	3.29	36.24	9.13	23.08	8.5
600118	中国卫星	19.14	4.12	10.07	0.12	8.63	7.33	0.81	1.73	37.93	92.89	45.31	1.4	12.06	9.13	23.08	16.32
600864	岁宝热电	19.14	12.53	4.25	0.12	-0.89	4.05	0.25	0.81	52.14	83.14	45.31	3.29	12.06	-1.83	-2.96	8.83
000910	大亚科技	19.14	4.12	4.25	0.3	-0.89	4.05	0.53	1.27	37.93	102.65	61.12	3.29	36.24	9.13	23.08	8.61
600216	浙江医药	19.14	4.12	4.25	0.12	-0.89	4.05	0.81	0.81	66.35	92.89	45.31	1.4	36.24	3.65	10.06	7.48
000739	青岛东方	19.14	-3.98	10.07	0.3	8.63	4.05	0.81	0.81	52.14	102.65	45.31	1.4	36.24	9.13	23.08	9.6
000410	沈阳机床	19.14	-3.98	-1.57	-0.06	-0.89	0.77	0.25	0.81	66.35	83.14	29.5	2.34	36.24	-1.83	10.06	6.26
000797	中国武夷	25.98	12.53	4.25	0.12	8.63	0.77	0.25	1.27	66.35	92.89	29.5	3.29	-12.12	3.65	10.06	6.35
000769	菲菲农业	25.98	12.53	-1.57	-0.06	-0.89	0.77	0.25	1.27	37.93	102.65	61.12	2.34	-12.12	-1.83	-2.96	5.65
000617	石油济柴	25.98	12.53	10.07	0.3	-0.89	0.77	0.53	1.27	66.35	83.14	29.5	1.4	12.06	9.13	23.08	12.18
600580	卧龙科技	25.98	-3.98	4.25	0.3	-0.89	4.05	0.53	1.73	37.93	102.65	61.12	3.29	12.06	9.13	23.08	14.1
600200	江苏吴中	25.98	4.12	10.07	0.3	8.63	7.33	0.53	1.73	37.93	83.14	61.12	3.29	-12.12	3.65	10.06	16.79
600561	江西长运	25.98	4.12	10.07	0.3	14.057	7.33	0.53	1.73	37.93	83.14	61.12	2.34	36.24	9.13	23.08	14.52
000210	金路集团	25.98	12.53	10.07	0.3	8.63	0.77	0.53	0.81	66.35	92.89	29.5	1.4	36.24	9.13	23.08	8.29
600133	东湖高新	25.98	-3.98	4.25	0.12	-0.89	0.77	0.25	1.73	52.14	92.89	45.31	2.34	-12.12	9.13	10.06	8.68
000639	金德发展	25.98	-3.98	10.07	0.12	14.057	7.33	0.53	1.73	52.14	83.14	45.31	1.4	36.24	9.13	10.06	17.6
600779	全兴股份	25.98	-3.98	-1.57	0.12	-0.89	0.77	0.53	1.27	52.14	92.89	45.31	2.34	-12.12	3.65	-2.96	5.74
